"Step","fold4 - val_dice_gallbladder","fold4 - val_dice_gallbladder__MIN","fold4 - val_dice_gallbladder__MAX","fold3 - val_dice_gallbladder","fold3 - val_dice_gallbladder__MIN","fold3 - val_dice_gallbladder__MAX","fold2 - val_dice_gallbladder","fold2 - val_dice_gallbladder__MIN","fold2 - val_dice_gallbladder__MAX","fold1 - val_dice_gallbladder","fold1 - val_dice_gallbladder__MIN","fold1 - val_dice_gallbladder__MAX","fold0 - val_dice_gallbladder","fold0 - val_dice_gallbladder__MIN","fold0 - val_dice_gallbladder__MAX"
"5","1.3539289542056213e-10","1.3539289542056213e-10","1.3539289542056213e-10","0.00012778308870847938","0.00012778308870847938","0.00012778308870847938","0.2500000000951288","0.2500000000951288","0.2500000000951288","0.0028576427763535583","0.0028576427763535583","0.0028576427763535583","0.0012678325977417597","0.0012678325977417597","0.0012678325977417597"
"10","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","1.3972490116405477e-10","1.3972490116405477e-10","1.3972490116405477e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4419727509278383e-10","1.4419727509278383e-10","1.4419727509278383e-10","0.000049706553823628","0.000049706553823628","0.000049706553823628"
"15","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.286035825516568e-10","2.286035825516568e-10","2.286035825516568e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3637101071507295e-10","1.3637101071507295e-10","1.3637101071507295e-10"
"20","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3687408517576664e-10","1.3687408517576664e-10","1.3687408517576664e-10"
"25","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3687739792100152e-10","1.3687739792100152e-10","1.3687739792100152e-10"
"30","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3687739792100152e-10","1.3687739792100152e-10","1.3687739792100152e-10"
"35","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"40","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"45","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"50","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"55","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"60","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"65","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"70","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3686453428400641e-10","1.3686453428400641e-10","1.3686453428400641e-10"
"75","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.368765145051203e-10","1.368765145051203e-10","1.368765145051203e-10"
"80","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"85","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","0.00008019259877134846","0.00008019259877134846","0.00008019259877134846"
"90","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3686942170976725e-10","1.3686942170976725e-10","1.3686942170976725e-10"
"95","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.368765145051203e-10","1.368765145051203e-10","1.368765145051203e-10"
"100","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3687096605848285e-10","1.3687096605848285e-10","1.3687096605848285e-10"
"105","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"110","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3686853672912915e-10","1.3686853672912915e-10","1.3686853672912915e-10"
"115","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"120","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3687185112716318e-10","1.3687185112716318e-10","1.3687185112716318e-10"
"125","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"130","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"135","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.368765145051203e-10","1.368765145051203e-10","1.368765145051203e-10"
"140","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3687096614652508e-10","1.3687096614652508e-10","1.3687096614652508e-10"
"145","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"150","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"155","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"160","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"165","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3687739792100152e-10","1.3687739792100152e-10","1.3687739792100152e-10"
"170","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"175","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"180","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"185","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"190","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"195","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"
"200","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10","1.3688294636763898e-10","1.3688294636763898e-10","1.3688294636763898e-10"