"Step","fold4 - val_dice_spleen","fold4 - val_dice_spleen__MIN","fold4 - val_dice_spleen__MAX","fold3 - val_dice_spleen","fold3 - val_dice_spleen__MIN","fold3 - val_dice_spleen__MAX","fold2 - val_dice_spleen","fold2 - val_dice_spleen__MIN","fold2 - val_dice_spleen__MAX","fold1 - val_dice_spleen","fold1 - val_dice_spleen__MIN","fold1 - val_dice_spleen__MAX"
"5","1.083295788844878e-11","1.083295788844878e-11","1.083295788844878e-11","1.2861894019277458e-11","1.2861894019277458e-11","1.2861894019277458e-11","1.235491968501258e-10","1.235491968501258e-10","1.235491968501258e-10","1.5974959462772327e-11","1.5974959462772327e-11","1.5974959462772327e-11"
"10","1.0898429306224124e-11","1.0898429306224124e-11","1.0898429306224124e-11","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.2500000000147242","0.2500000000147242","0.2500000000147242","1.5975665238743154e-11","1.5975665238743154e-11","1.5975665238743154e-11"
"15","1.0898429306224124e-11","1.0898429306224124e-11","1.0898429306224124e-11","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.2500000000147246","0.2500000000147246","0.2500000000147246","1.5975665238743154e-11","1.5975665238743154e-11","1.5975665238743154e-11"
"20","1.0898429306224124e-11","1.0898429306224124e-11","1.0898429306224124e-11","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.2500000000147246","0.2500000000147246","0.2500000000147246","1.5975665238743154e-11","1.5975665238743154e-11","1.5975665238743154e-11"
"25","1.0818649381096348e-11","1.0818649381096348e-11","1.0818649381096348e-11","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.2500000000147246","0.2500000000147246","0.2500000000147246","1.5975665238743154e-11","1.5975665238743154e-11","1.5975665238743154e-11"
"30","1.0897712689513596e-11","1.0897712689513596e-11","1.0897712689513596e-11","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.2500000000147246","0.2500000000147246","0.2500000000147246","1.5975665238743154e-11","1.5975665238743154e-11","1.5975665238743154e-11"
"35","0.00017694216506541652","0.00017694216506541652","0.00017694216506541652","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.25000000001472417","0.25000000001472417","0.25000000001472417","1.5975665238743154e-11","1.5975665238743154e-11","1.5975665238743154e-11"
"40","1.0898429306224124e-11","1.0898429306224124e-11","1.0898429306224124e-11","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.014451223809110972","0.014451223809110972","0.014451223809110972","1.5903862075310166e-11","1.5903862075310166e-11","1.5903862075310166e-11"
"45","0.004884321266829146","0.004884321266829146","0.004884321266829146","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","6.2514707562638e-8","6.2514707562638e-8","6.2514707562638e-8","0.07395122645473609","0.07395122645473609","0.07395122645473609"
"50","0.019308614365011755","0.019308614365011755","0.019308614365011755","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.17192796834315258","0.17192796834315258","0.17192796834315258","0.0025384213464735845","0.0025384213464735845","0.0025384213464735845"
"55","0.03101362758081951","0.03101362758081951","0.03101362758081951","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.24451462278537964","0.24451462278537964","0.24451462278537964","0.12791837228695602","0.12791837228695602","0.12791837228695602"
"60","0.022562957155075006","0.022562957155075006","0.022562957155075006","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.22623762499571337","0.22623762499571337","0.22623762499571337","0.22636066131941426","0.22636066131941426","0.22636066131941426"
"65","0.5191874785308942","0.5191874785308942","0.5191874785308942","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.3107831494718169","0.3107831494718169","0.3107831494718169","0.5151256959638848","0.5151256959638848","0.5151256959638848"
"70","0.4909640404835122","0.4909640404835122","0.4909640404835122","0.003916067225137487","0.003916067225137487","0.003916067225137487","0.3459796044314577","0.3459796044314577","0.3459796044314577","0.15302758068659744","0.15302758068659744","0.15302758068659744"
"75","0.3499523898951274","0.3499523898951274","0.3499523898951274","0.21909643799258116","0.21909643799258116","0.21909643799258116","0.18962395552127045","0.18962395552127045","0.18962395552127045","0.08653295597238271","0.08653295597238271","0.08653295597238271"
"80","0.18282956005160825","0.18282956005160825","0.18282956005160825","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.18178837742250842","0.18178837742250842","0.18178837742250842","0.5295828792339565","0.5295828792339565","0.5295828792339565"
"85","0.29591643375876736","0.29591643375876736","0.29591643375876736","0.1403668597025902","0.1403668597025902","0.1403668597025902","0.41593447517537596","0.41593447517537596","0.41593447517537596","0.3571850950529412","0.3571850950529412","0.3571850950529412"
"90","0.24460531793083065","0.24460531793083065","0.24460531793083065","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.23372389353806672","0.23372389353806672","0.23372389353806672","0.5627827305742926","0.5627827305742926","0.5627827305742926"
"95","0.4228741848710613","0.4228741848710613","0.4228741848710613","0.35967619664684286","0.35967619664684286","0.35967619664684286","0.28102140903153183","0.28102140903153183","0.28102140903153183","0.5268975463457235","0.5268975463457235","0.5268975463457235"
"100","0.30695823778862014","0.30695823778862014","0.30695823778862014","0.40206310169376697","0.40206310169376697","0.40206310169376697","0.40806607425924935","0.40806607425924935","0.40806607425924935","0.5464045140979513","0.5464045140979513","0.5464045140979513"
"105","0.48564599096241384","0.48564599096241384","0.48564599096241384","0.311269890426651","0.311269890426651","0.311269890426651","0.4396803683540832","0.4396803683540832","0.4396803683540832","0.40517879509082527","0.40517879509082527","0.40517879509082527"
"110","0.30549431623366957","0.30549431623366957","0.30549431623366957","0.439743297892697","0.439743297892697","0.439743297892697","0.22681824786955057","0.22681824786955057","0.22681824786955057","0.5452334738652511","0.5452334738652511","0.5452334738652511"
"115","0.43161310490187654","0.43161310490187654","0.43161310490187654","0.5939512125671627","0.5939512125671627","0.5939512125671627","0.395249990874553","0.395249990874553","0.395249990874553","0.6241754006793638","0.6241754006793638","0.6241754006793638"
"120","0.5136954940540405","0.5136954940540405","0.5136954940540405","0.5078753831580953","0.5078753831580953","0.5078753831580953","0.4221147638283157","0.4221147638283157","0.4221147638283157","0.7286451098262474","0.7286451098262474","0.7286451098262474"
"125","0.21655575371690938","0.21655575371690938","0.21655575371690938","0.6907878751907788","0.6907878751907788","0.6907878751907788","0.36728472862271905","0.36728472862271905","0.36728472862271905","0.5961226358726881","0.5961226358726881","0.5961226358726881"
"130","0.41072168084080385","0.41072168084080385","0.41072168084080385","0.689646019661518","0.689646019661518","0.689646019661518","0.3935993982184587","0.3935993982184587","0.3935993982184587","0.6655081284963795","0.6655081284963795","0.6655081284963795"
"135","0.49292096003262387","0.49292096003262387","0.49292096003262387","0.7236837544444175","0.7236837544444175","0.7236837544444175","0.46153988586639405","0.46153988586639405","0.46153988586639405","0.6967541617723297","0.6967541617723297","0.6967541617723297"
"140","0.4277201249812998","0.4277201249812998","0.4277201249812998","0.6774687308524552","0.6774687308524552","0.6774687308524552","","","","0.7324849961548873","0.7324849961548873","0.7324849961548873"
"145","0.5208896158219783","0.5208896158219783","0.5208896158219783","0.7089148556687447","0.7089148556687447","0.7089148556687447","","","","0.652678604207878","0.652678604207878","0.652678604207878"
"150","0.4817217935124445","0.4817217935124445","0.4817217935124445","0.7722588726089943","0.7722588726089943","0.7722588726089943","","","","0.6801892066488301","0.6801892066488301","0.6801892066488301"
"155","0.4621446571122301","0.4621446571122301","0.4621446571122301","0.7465545532497124","0.7465545532497124","0.7465545532497124","","","","0.6488148852495564","0.6488148852495564","0.6488148852495564"
"160","0.3506985884072215","0.3506985884072215","0.3506985884072215","0.7255636557694244","0.7255636557694244","0.7255636557694244","","","","0.6736944443480524","0.6736944443480524","0.6736944443480524"
"165","0.45787612062246413","0.45787612062246413","0.45787612062246413","0.7403989877655759","0.7403989877655759","0.7403989877655759","","","","0.689926898504857","0.689926898504857","0.689926898504857"
"170","0.46378785302222525","0.46378785302222525","0.46378785302222525","0.6759992885202372","0.6759992885202372","0.6759992885202372","","","","0.7210723275153569","0.7210723275153569","0.7210723275153569"
"175","0.5006923720997708","0.5006923720997708","0.5006923720997708","0.764466425555749","0.764466425555749","0.764466425555749","","","","0.7060822612084048","0.7060822612084048","0.7060822612084048"
"180","0.4220683003647161","0.4220683003647161","0.4220683003647161","0.7354797860546033","0.7354797860546033","0.7354797860546033","","","","0.7233725092394672","0.7233725092394672","0.7233725092394672"
"185","0.44652919588922435","0.44652919588922435","0.44652919588922435","0.6825890533681198","0.6825890533681198","0.6825890533681198","","","","0.7157547503817083","0.7157547503817083","0.7157547503817083"
"190","0.47369684896037895","0.47369684896037895","0.47369684896037895","0.7176789592766023","0.7176789592766023","0.7176789592766023","","","","0.6996479010126416","0.6996479010126416","0.6996479010126416"
"195","0.46141082978020376","0.46141082978020376","0.46141082978020376","0.7163108042619983","0.7163108042619983","0.7163108042619983","","","","0.6952974361789923","0.6952974361789923","0.6952974361789923"
"200","0.4714514321448043","0.4714514321448043","0.4714514321448043","0.7016218457836846","0.7016218457836846","0.7016218457836846","","","","0.686973475261218","0.686973475261218","0.686973475261218"